content,target
沉默，沉默，整天就知道沉默！,1
哈哈哈哈哈哈哈这个马赛克 谢谢,1
勾手投篮,0
？？？？？？？？？？？？？？？？你再说一遍？？？,-1
?,0
那也有可能是受益人,0
《学 而 不 玩 则 呆》,1
麦克雷,0
可能为了触发残血buff吧,0
哪个正常国家会有如此多情报部门?,-1
草,1
《福到了》,1
我来了猫猫！,1
这个坎不好过的,0
怪核,0
尼䧞怎么还没似,-1
★★★☆☆,0
谢谢罗老师,1
这不玩游戏，开始讲人情世故了,0
哈哈哈哈,1
说宋江心里乐开花的，你是不是什么都没看,-1
法律的最终底线是人的生命安全,0
辛苦了,1
初生罗翔,-1
我不是我 我就是我,0
哈哈哈哈哈,1
一丈青死的唉,-1
【程心】进入直播间,1
我们不是判例法 怎么可能啥都细化到位？,0
掉了几百万粉丝=损失几百万,-1
是物理学不存在的设定（,1
我害怕，我不是现代人,-1
狗头保命,1
阿里阿里阿里,0
自我介绍吗？,-1
网暴算不算？,0
航空公司要负责，好吧，真扯淡。,-1
迄今为止威力最大的洗衣服,-1
随意定罪,0
哈哈哈哈哈,1
老师好,1
尸体在说话,-1
为什么你说这句话显着这么好笑,-1
你家啊不敢回,0
敖敖的视频三连再看,1
faker是你嗎？,1
非常合理,1
该取消的还是要要取消的，有些个罪名要细化去详解，这是两码事,0
说自己吗？,-1
进攻法国 批准,1
杀了他,-1
已举报。,-1
高科技,0
xswl,1
怎么就荷花猛男了,0
换一个音乐就不恐怖了 ,0
晚安M U 5735,-1
女主：赶快去和小姐妹分享～,1
内外蒙古合并入中国，批准,1
bgm,0
说半天你还是为了利益集团,-1
感觉古代人好有智慧,1
？,0
风驰电掣,0
没用,0
曾经的下属打赢复活赛了,0
九又四分之三站台拆那分站,0
美国就是世界最大的恐怖机构,-1
这个玩过,0
好运来∽，祝你好运来∽,1
作文素材有了,0
啊？,0
好,1
当时看死神来了，差点看出心脏病,-1
我去年买了个表,-1
经典机能限制,0
我想去，全是零食，狂吃，还能玩雪画画,1
爷青回,1
五金？,0
好可爱,1
晚庭看完献上赞歌一曲,1
那运用这个原理说不定还能开发出联想词功能doge,1
散打评书,0
我好像知道你最近去哪里了,0
张伟，乐,1
囧的召唤之勾心斗角系列,0
好似啊哇嘎嘎,-1
233,1
911,0
咋地，你有择业权，用人单位都不能拒绝你了？你长得不好看 ，人家模特公司非要要你？,-1
2022年前来考古,0
还有脸回来？,-1
花容这个老六狙死多少敌将了？,1
完了，梁山大克星,-1
敖犬身上还背着一条无辜人命，望周知,-1
黑俄罗斯啊,-1
从这里就可以看出，那些抨击罗老师的人大多都只看到“反对”，但都没有提罗老师具体的论据和补充。属于断章取义了,-1
有网和手机其实不算有隔离感,0
1,0
虽然打一拳收回去了，实际上打出了内伤。,0
